"   ","NGAY","KQ"
"1","20190819","82"
"2","20190820","65"
"3","20190821","37"
"4","20190822","93"
"5","20190823","47"
"6","20190824","62"
"7","20190825","01"
"8","20190826","63"
"9","20190827","62"
"10","20190828","62"
"11","20190829","73"
"12","20190830","66"
"13","20190831","60"
"14","20190901","97"
"15","20190902","25"
"16","20190903","54"
"17","20190904","84"
"18","20190905","51"
"19","20190906","17"
"20","20190907","16"
"21","20190908","68"
"22","20190909","83"
"23","20190910","11"
"24","20190911","41"
"25","20190912","17"
"26","20190913","82"
"27","20190914","43"
"28","20190915","03"
"29","20190916","97"
"30","20190917","01"
"31","20190918","46"
"32","20190919","20"
"33","20190920","76"
"34","20190921","78"
"35","20190922","74"
"36","20190923","29"
"37","20190924","24"
"38","20190925","59"
"39","20190926","57"
"40","20190927","78"
"41","20190928","16"
"42","20190929","24"
"43","20190930","64"
"44","20191001","15"
"45","20191002","81"
"46","20191003","27"
"47","20191004","51"
"48","20191005","52"
"49","20191006","75"
"50","20191007","00"
"51","20191008","01"
"52","20191009","84"
"53","20191010","46"
"54","20191011","68"
"55","20191012","09"
"56","20191013","48"
"57","20191014","11"
"58","20191015","30"
"59","20191016","41"
"60","20191017","61"
"61","20191018","97"
"62","20191019","98"
"63","20191020","49"
"64","20191021","74"
"65","20191022","37"
"66","20191023","53"
"67","20191024","74"
"68","20191025","84"
"69","20191026","09"
"70","20191027","16"
"71","20191028","39"
"72","20191029","42"
"73","20191030","98"
"74","20191031","62"
"75","20191101","68"
"76","20191102","94"
"77","20191103","11"
"78","20191104","43"
"79","20191105","90"
"80","20191106","81"
"81","20191107","24"
"82","20191108","92"
"83","20191109","02"
"84","20191110","10"
"85","20191111","16"
"86","20191112","44"
"87","20191113","18"
"88","20191114","58"
"89","20191115","08"
"90","20191116","82"
"91","20191117","00"
"92","20191118","84"
"93","20191119","42"
"94","20191120","51"
"95","20191121","15"
"96","20191122","78"
"97","20191123","36"
"98","20191124","42"
"99","20191125","68"
"100","20191126","31"
"101","20191127","57"
"102","20191128","32"
"103","20191129","03"
"104","20191130","96"
"105","20191201","87"
"106","20191202","97"
"107","20191203","97"
"108","20191204","19"
"109","20191205","67"
"110","20191206","30"
"111","20191207","38"
"112","20191208","40"
"113","20191209","76"
"114","20191210","33"
"115","20191211","85"
"116","20191212","47"
"117","20191213","76"
"118","20191214","94"
"119","20191215","06"
"120","20191216","68"
"121","20191217","22"
"122","20191218","49"
"123","20191219","81"
"124","20191220","84"
"125","20191221","48"
"126","20191222","42"
"127","20191223","24"
"128","20191224","26"
"129","20191225","81"
"130","20191226","39"
"131","20191227","77"
"132","20191228","01"
"133","20191229","01"
"134","20191230","88"
"135","20191231","08"
"136","20200101","05"
"137","20200102","04"
"138","20200103","43"
"139","20200104","49"
"140","20200105","21"
"141","20200106","12"
"142","20200107","54"
"143","20200108","04"
"144","20200109","74"
"145","20200110","96"
"146","20200111","58"
"147","20200112","80"
"148","20200113","44"
"149","20200114","64"
"150","20200115","10"
"151","20200116","82"
"152","20200117","71"
"153","20200118","06"
"154","20200119","21"
"155","20200120","50"
"156","20200121","97"
